# zs        u          g          r          i          z          u-g                     g-r                  r-i                  i-z                     eu          eg           er           ei           ez           eu-g                  eg-r                  er-i                   ei-z                  
6.219000000000000083e-01 2.397121999999999886e+01 2.210520999999999958e+01 2.047741999999999862e+01 1.953428999999999860e+01 1.912530999999999892e+01 1.866009999999999280e+00 1.627790000000000958e+00 9.431300000000000239e-01 4.089799999999996771e-01 1.459697999999999940e+00 1.257491000000000025e-01 4.205162999999999957e-02 2.510131999999999988e-02 7.959745999999999488e-02 1.465104462949591069e+00 1.325940260210349830e-01 4.897362403783591528e-02 8.346155944022372319e-02
4.591999999999999971e-01 2.259687999999999874e+01 2.239874000000000009e+01 2.055928000000000111e+01 1.972293000000000163e+01 1.949715000000000131e+01 1.981399999999986505e-01 1.839459999999998985e+00 8.363499999999994827e-01 2.257800000000003138e-01 5.371285000000000087e-01 1.668950999999999907e-01 4.909151999999999960e-02 3.393047999999999897e-02 1.279697999999999947e-01 5.624597762651654120e-01 1.739653751179251195e-01 5.967624995708761815e-02 1.323916431844185393e-01
4.425000000000000044e-01 2.286197999999999908e+01 2.184281999999999968e+01 2.014498000000000033e+01 1.932589000000000112e+01 1.873975000000000080e+01 1.019159999999999400e+00 1.697839999999999350e+00 8.190899999999992076e-01 5.861400000000003274e-01 1.191548000000000052e+00 1.480570999999999970e-01 4.609351999999999894e-02 3.545018999999999948e-02 9.431970000000000631e-02 1.200711264694560132e+00 1.550661711863693393e-01 5.814919223021502992e-02 1.007617079009982958e-01
5.038000000000000256e-01 2.303537999999999997e+01 2.247785999999999973e+01 2.074391999999999925e+01 1.989999999999999858e+01 1.937322999999999951e+01 5.575200000000002376e-01 1.733940000000000481e+00 8.439200000000006696e-01 5.267699999999990723e-01 1.033571000000000017e+00 2.325387999999999900e-01 6.821668999999999650e-02 5.630944999999999701e-02 1.201852000000000059e-01 1.059407053755278660e+00 2.423382146917734681e-01 8.845490915635265128e-02 1.327224037543869306e-01
5.492000000000000215e-01 2.307851000000000141e+01 2.231962000000000046e+01 2.070746000000000109e+01 1.967607999999999890e+01 1.898372000000000170e+01 7.588900000000009527e-01 1.612159999999999371e+00 1.031380000000002184e+00 6.923599999999971999e-01 1.211230000000000029e+00 2.129690999999999945e-01 7.259150999999999798e-02 4.594233000000000344e-02 9.667259000000000269e-02 1.229810534373002584e+00 2.250008108405169571e-01 8.590823598415346651e-02 1.070340475883118231e-01
6.375999999999999446e-01 2.381230000000000047e+01 2.257054000000000116e+01 2.076550999999999902e+01 1.970544999999999902e+01 1.913370000000000104e+01 1.241759999999999309e+00 1.805030000000002133e+00 1.060060000000000002e+00 5.717499999999979821e-01 1.493840000000000057e+00 2.024029999999999996e-01 6.237348999999999671e-02 3.964521000000000017e-02 1.118090999999999946e-01 1.507489608590719454e+00 2.117957191819043739e-01 7.390666364221970541e-02 1.186297497205237306e-01
5.012999999999999678e-01 2.715186999999999884e+01 2.202984000000000009e+01 2.040752000000000166e+01 1.946164999999999878e+01 1.881081999999999965e+01 5.122029999999998751e+00 1.622319999999998430e+00 9.458700000000028751e-01 6.508299999999991314e-01 3.583949000000000162e-01 1.688990999999999965e-01 5.624161999999999911e-02 3.819871999999999851e-02 8.362880000000000313e-02 3.961992053586427809e-01 1.780169256026920555e-01 6.798721960679668386e-02 9.193975418217301132e-02
4.606999999999999984e-01 2.274409999999999954e+01 2.157319000000000031e+01 1.989021999999999935e+01 1.906753000000000142e+01 1.854425000000000168e+01 1.170909999999999229e+00 1.682970000000000965e+00 8.226899999999979229e-01 5.232799999999997453e-01 1.276343999999999923e+00 1.319172999999999873e-01 4.264148000000000244e-02 3.226691000000000281e-02 9.186663000000000467e-02 1.283143086477610995e+00 1.386379091586439072e-01 5.347381880451872183e-02 9.736853284560162414e-02
4.963000000000000189e-01 2.432035000000000124e+01 2.211512000000000100e+01 2.042499000000000109e+01 1.938955999999999946e+01 1.907638000000000034e+01 2.205230000000000246e+00 1.690129999999999910e+00 1.035430000000001627e+00 3.131799999999991257e-01 1.788774000000000086e+00 1.459150999999999920e-01 4.908031999999999673e-02 2.966357000000000022e-02 1.075189000000000006e-01 1.794715475913664315e+00 1.539483491932031045e-01 5.734810543032175384e-02 1.115358294107992032e-01
4.428000000000000269e-01 2.469964999999999833e+01 2.234371000000000151e+01 2.066625000000000156e+01 1.989057999999999993e+01 1.953066000000000102e+01 2.355939999999996814e+00 1.677459999999999951e+00 7.756700000000016360e-01 3.599199999999989075e-01 2.269302999999999848e+00 2.248677000000000037e-01 8.473838999999999677e-02 6.826754999999999629e-02 2.051997999999999878e-01 2.280416976851446176e+00 2.403041348855281534e-01 1.088166031577653958e-01 2.162577543188740625e-01
5.286999999999999478e-01 2.489415999999999940e+01 2.170234999999999914e+01 1.999036999999999864e+01 1.921609000000000123e+01 1.901641000000000048e+01 3.191810000000000258e+00 1.711980000000000501e+00 7.742799999999974148e-01 1.996800000000007458e-01 2.076748999999999956e+00 1.283455000000000013e-01 4.098779999999999785e-02 2.869162999999999922e-02 1.004484999999999961e-01 2.080711170819066425e+00 1.347314629887540471e-01 5.003208351544936178e-02 1.044658354884834967e-01
5.040999999999999925e-01 2.400235999999999947e+01 2.138440999999999903e+01 1.960766999999999882e+01 1.883543999999999841e+01 1.843793000000000148e+01 2.617950000000000443e+00 1.776740000000000208e+00 7.722300000000004161e-01 3.975099999999969214e-01 3.088783999999999974e+00 1.187793000000000043e-01 3.552571000000000201e-02 2.565848000000000087e-02 6.841700000000000559e-02 3.091066987427559809e+00 1.239782165523206081e-01 4.382275284500621731e-02 7.307012717185047690e-02
4.652999999999999914e-01 2.654090000000000060e+01 2.192802000000000007e+01 2.007817999999999969e+01 1.929724999999999824e+01 1.878359999999999985e+01 4.612880000000000535e+00 1.849840000000000373e+00 7.809300000000014563e-01 5.136499999999983856e-01 5.515757999999999495e-01 1.545370000000000077e-01 4.373596999999999901e-02 3.259683000000000025e-02 8.688471000000000388e-02 5.728154567700141087e-01 1.606067229005090635e-01 5.454712089459717861e-02 9.279820126399541957e-02
5.628999999999999559e-01 2.471176000000000172e+01 2.193118000000000123e+01 2.060127999999999915e+01 1.968563999999999936e+01 1.917430999999999841e+01 2.780580000000000496e+00 1.329900000000002080e+00 9.156399999999997874e-01 5.113300000000009504e-01 1.911380000000000079e+00 1.944984999999999908e-01 7.171897000000000688e-02 4.946724000000000260e-02 1.185843000000000036e-01 1.921250418582192587e+00 2.072999690306559228e-01 8.712415561185371526e-02 1.284883031240883211e-01
4.408000000000000251e-01 2.455727999999999867e+01 2.191279000000000110e+01 2.030772999999999939e+01 1.952477000000000018e+01 1.901323999999999970e+01 2.644489999999997565e+00 1.605060000000001708e+00 7.829599999999992122e-01 5.115300000000004843e-01 1.488358999999999988e+00 1.189715999999999968e-01 4.146405000000000229e-02 3.490001999999999688e-02 8.013807000000000569e-02 1.493106410972627307e+00 1.259901148859008668e-01 5.419666814853935088e-02 8.740778946595835486e-02
5.119000000000000217e-01 2.656710999999999956e+01 2.186923000000000172e+01 2.021966000000000108e+01 1.928648000000000096e+01 1.877882999999999925e+01 4.697879999999997835e+00 1.649570000000000647e+00 9.331800000000001205e-01 5.076500000000017110e-01 7.103317000000000103e-01 1.694615999999999900e-01 5.569425000000000070e-02 3.672552999999999929e-02 9.264052000000000398e-02 7.302659501164284750e-01 1.783790440540101718e-01 6.671292256259951647e-02 9.965455583991783550e-02
5.364999999999999769e-01 2.495035999999999987e+01 2.225411000000000072e+01 2.052981000000000122e+01 1.958283000000000129e+01 1.915673999999999921e+01 2.696249999999999147e+00 1.724299999999999500e+00 9.469799999999999329e-01 4.260900000000020782e-01 2.035517000000000021e+00 2.122410999999999881e-01 6.558527999999999580e-02 4.268025999999999764e-02 1.154194000000000053e-01 2.046552159564522189e+00 2.221434524848490688e-01 7.824981499240747651e-02 1.230578826813934767e-01
6.281999999999999806e-01 2.496322999999999936e+01 2.217551999999999879e+01 2.096218000000000004e+01 1.990546000000000149e+01 1.956709000000000032e+01 2.787710000000000576e+00 1.213339999999998753e+00 1.056719999999998549e+00 3.383700000000011698e-01 1.980323000000000055e+00 1.896362000000000048e-01 1.030353999999999992e-01 5.625876999999999961e-02 1.578818999999999917e-01 1.989382083130196488e+00 2.158197905744512757e-01 1.173939643042729020e-01 1.676059174060477441e-01
4.808000000000000052e-01 2.415540000000000020e+01 2.219057000000000102e+01 2.013932000000000144e+01 1.925496000000000052e+01 1.891443999999999903e+01 1.964829999999999188e+00 2.051249999999999574e+00 8.843600000000009231e-01 3.405200000000014882e-01 1.580689000000000011e+00 1.646602000000000066e-01 3.902992999999999740e-02 2.705895999999999996e-02 7.936867999999999701e-02 1.589242176694615649e+00 1.692226843536199787e-01 4.749234414183511194e-02 8.385448515866041064e-02
